Month,Cost of Goods Sold (COGS),Monthly Marketing Budget,Salaries & Wages,Software Costs,Shipping & Fulfillment,Payment Processing Fees,Insurance,General Office/Contingency,Total Operating Expenses,Total Expenses
1,$891.00,"$4,000.00","$15,300.00",$299.00,$48.60,$32.40,$100.00,$200.00,"$20,079.60","$20,970.60"
2,$950.95,"$4,000.00","$15,300.00",$299.00,$51.87,$34.58,$100.00,$200.00,"$20,085.45","$21,036.40"
3,"$1,012.00","$4,000.00","$15,300.00",$299.00,$55.20,$36.80,$100.00,$200.00,"$20,091.00","$21,103.00"
4,"$1,176.45","$4,500.00","$15,300.00",$299.00,$64.17,$42.78,$100.00,$200.00,"$20,505.90","$21,682.35"
5,"$1,266.65","$4,500.00","$15,300.00",$299.00,$69.09,$46.06,$100.00,$200.00,"$20,514.10","$21,780.75"
6,"$1,332.38","$4,500.00","$15,300.00",$299.00,$72.68,$48.45,$100.00,$200.00,"$20,520.03","$21,852.41"
7,"$1,531.20","$5,000.00","$15,300.00",$299.00,$83.52,$55.68,$100.00,$200.00,"$21,038.20","$22,569.40"
8,"$1,627.18","$5,000.00","$15,300.00",$299.00,$88.76,$59.17,$100.00,$200.00,"$21,046.91","$22,674.09"
9,"$1,724.80","$5,000.00","$15,300.00",$299.00,$94.08,$62.72,$100.00,$200.00,"$21,055.80","$22,780.60"
10,"$1,824.08","$5,000.00","$15,300.00",$299.00,$99.50,$66.33,$100.00,$200.00,"$21,064.83","$22,888.91"
11,"$1,915.51","$5,000.00","$15,300.00",$299.00,$104.48,$69.65,$100.00,$200.00,"$21,073.64","$22,989.15"
12,"$1,980.00","$6,000.00","$15,300.00",$299.00,$108.00,$72.00,$100.00,$200.00,"$22,079.00","$24,059.00"
