Metric,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
Monthly Revenue,"$1,620.00","$1,729.00","$1,840.00","$2,139.00","$2,303.00","$2,422.50","$2,784.00","$2,958.50","$3,136.00","$3,316.50","$3,482.75","$3,600.00"
Monthly Gross Profit,$729.00,$778.05,$828.00,$962.55,"$1,036.35","$1,090.12","$1,252.80","$1,331.32","$1,411.20","$1,492.42","$1,567.24","$1,620.00"
Monthly Net Profit,"-$18,969.60","-$18,907.40","-$18,851.00","-$19,166.90","-$19,077.75","-$19,014.53","-$19,313.20","-$19,223.59","-$19,134.60","-$19,043.91","-$18,960.14","-$20,099.00"
Gross Profit Margin %,45.00%,45.00%,45.00%,45.00%,45.00%,45.00%,45.00%,45.00%,45.00%,45.00%,45.00%,45.00%
Net Profit Margin %,-1171.09%,-1093.54%,-1024.51%,-895.13%,-828.39%,-785.78%,-693.72%,-650.13%,-610.16%,-574.21%,-544.39%,-558.31%
Customer Acquisition Cost (CAC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Customer Lifetime Value (CLV),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Website Conversion Rate %,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Average Order Value (AOV) $,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ROAS (Return on Ad Spend),0.41,0.43,0.46,0.48,0.51,0.54,0.56,0.59,0.63,0.66,0.7,0.6
Cash Balance,"-$8,969.60","-$27,877.00",-$46,,,,,,,,,
